assessment status,Site_Latitude,Site_Longitude
complete,46.972278,-123.837765
complete,46.96766,-123.697506
complete,46.972483,-123.831786
complete,46.966854,-123.78955
complete,48.506794,-122.62178
complete,48.503714,-122.618036
complete,48.446296,-122.582517
complete,48.501583,-122.621344
complete,48.487422,-122.618536
complete,48.512146,-122.617574
complete,48.194404,-122.112387
complete,48.191613,-122.119921
complete,48.183938,-122.119489
complete,48.196971,-122.111672
complete,47.271022,-122.249436
complete,47.329329,-122.21455
complete,47.319329,-122.2639
complete,47.278182,-122.216424
complete,47.328936,-122.183207
complete,47.264204,-122.227686
complete,47.316747,-122.12229
complete,47.32752,-122.18619
complete,47.308354,-122.22223
complete,47.308133,-122.23474
complete,45.767724,-122.543589
complete,47.096579,-122.427471
complete,48.992403,-122.7407
complete,48.993812,-122.73872
complete,48.993823,-122.738403
complete,48.991477,-122.74015
complete,48.9889,-123.0436
complete,46.550122,-123.133309
complete,48.094092,-119.787069
complete,48.478157,-122.337203
complete,48.252154,-124.259116
complete,48.363899,-124.621721
complete,48.363412,-124.623228
complete,47.081007,-122.05408
complete,47.641928,-122.60708
complete,47.683818,-122.70185
complete,47.642702,-122.64602
complete,47.683082,-122.72555
complete,47.674956,-122.66483
complete,47.633066,-122.61474
complete,47.636874,-122.65113
complete,47.598533,-122.81993
complete,47.646896,-122.697897
complete,47.658589,-122.66801
complete,47.658342,-122.66653
complete,47.64363,-122.71744
complete,47.629824,-122.64765
complete,47.650002,-117.206465
complete,47.637612,-117.252478
complete,47.663988,-117.257286
complete,47.670868,-117.153288
complete,47.623947,-117.23887
complete,47.653675,-117.163428
complete,47.657925,-117.170214
complete,47.621105,-117.237627
complete,47.642958,-117.229398
complete,47.658369,-117.200866
complete,47.663673,-117.201454
complete,47.63548,-117.242876
complete,47.641949,-117.260851
complete,46.721909,-122.959333
complete,46.642404,-122.93962
complete,46.659719,-122.96235
complete,46.6496,-122.9489
complete,47.495949,-117.577619
complete,47.481318,-117.596401
complete,47.644963,-117.588704
complete,47.594925,-117.490616
complete,48.281836,-117.71183
complete,48.011563,-122.777624
complete,47.185916,-122.548519
complete,46.200494,-119.012984
complete,46.200471,-119.009856
complete,48.534648,-117.8993
complete,48.5342,-117.8913
complete,48.550037,-117.896866
complete,48.531555,-121.758227
complete,48.531947,-121.763074
complete,46.952781,-123.77177
complete,48.211376,-122.687459
complete,48.2065,-122.684964
complete,48.206692,-122.684948
complete,48.337396,-117.299123
complete,47.6515,-118.1505
complete,46.316128,-117.974987
complete,46.31714,-117.97511
complete,46.1413,-118.1507
complete,47.700051,-117.177139
complete,47.707423,-117.05428
complete,47.701998,-117.202
complete,47.692012,-117.195744
complete,47.6994,-117.1099
complete,47.700873,-117.207776
complete,46.606985,-120.444608
complete,47.414443,-120.26996
complete,47.004025,-123.433849
complete,47.003182,-123.414044
