Unique_Identifier,EPAT_earthquake_hazard_level,EPAT_combined_hazard_level
Seattle_Adams Elementary School,High,Moderate
Seattle_Aki Kurose Middle School,Very High,High
Seattle_Alan T. Sugiyama High School,Very High,High
Seattle_Alki Elementary School,Very High,Very High
Seattle_Arbor Heights Elementary School,Very High,High
Seattle_B. F. Day Elementary School,High,Moderate
Seattle_Bailey Gatzert Elementary School,Very High,High
Seattle_Ballard High School,High,Moderate
Seattle_Beacon Hill Int'l Elementary School,Very High,High
Seattle_Broadview-Thomson K-8 School,High,Moderate
Seattle_Bryant Elementary School,High,Moderate
Seattle_Cascadia Elementary School,High,Moderate
Seattle_Catharine Blaine K-8 School,High,Moderate
Seattle_Cedar Park Elementary School,High,Moderate
Seattle_Chief Sealth International High School,Very High,High
Seattle_Cleveland High School,Very High,High
Seattle_Columbia School,Very High,High
Seattle_Concord Int'l Elementary School,Very High,High
Seattle_Cooper (Pathfinder) Elementary School,Very High,High
Seattle_Daniel Bagley Elementary School,High,Moderate
Seattle_Dearborn Park Intl'l Elementary School,Very High,High
Seattle_Decatur Elementary School,High,Moderate
Seattle_Denny International Middle School,Very High,High
Seattle_Dunlap Elementary School,Very High,High
Seattle_Eckstein Middle School,High,Moderate
Seattle_Emerson Elementary School,Very High,High
Seattle_Fairmount Park Elementary School,Very High,High
Seattle_Franklin High School,Very High,High
Seattle_Frantz Coe Elementary School,High,Moderate
Seattle_Garfield High School,Very High,High
Seattle_Gatewood Elementary School,Very High,High
Seattle_Genesee Hill Elementary School,Very High,High
Seattle_Graham Hill Elementary School,Very High,High
Seattle_Green Lake Elementary School,High,Moderate
Seattle_Greenwood Elementary School,High,Moderate
Seattle_Hamilton International Middle School,High,Moderate
Seattle_Hawthorne Elementary School,Very High,High
Seattle_Hazel Wolf K-8 School,High,Moderate
Seattle_Highland Park Elementary School,Very High,High
Seattle_Ingraham Int'l High School,High,Moderate
Seattle_Jane Addams Middle School,High,Moderate
Seattle_John Hay Elementary School,High,Moderate
Seattle_John Marshall,High,Moderate
Seattle_John Muir Elementary School,Very High,High
Seattle_John Rogers Elementary School,High,Moderate
Seattle_John Stanford Int'l Elementary School,High,Moderate
Seattle_Lafayette Elementary School,Very High,High
Seattle_Laurelhurst Elementary School,High,Moderate
Seattle_Lawton Elementary School,High,Moderate
Seattle_Leschi Elementary School,Very High,High
Seattle_Lincoln High School,High,Moderate
Seattle_Louisa Boren (STEM),Very High,High
Seattle_Lowell Elementary School,High,Moderate
Seattle_Loyal Heights Elementary School,High,Moderate
Seattle_Madison Middle School,Very High,High
Seattle_Madrona K-8 School,High,Moderate
Seattle_Magnolia Elementary School,High,Moderate
Seattle_Mann (Nova) High School,High,Moderate
Seattle_Maple Elementary School,Very High,High
Seattle_Martin Luther King Elementary School,Very High,High
Seattle_McClure Middle School,High,Moderate
Seattle_McDonald Int'l Elementary School,High,Moderate
Seattle_McGilvra Elementary School,High,Moderate
Seattle_Meany Middle School,High,Moderate
Seattle_Monroe (Salmon Bay K-8),High,Moderate
Seattle_Montlake Elementary School,High,Moderate
Seattle_Nathan Hale High School,High,High
Seattle_North Beach Elementary School,High,Moderate
Seattle_North Queen Anne Elementary School (CCCP),High,Moderate
Seattle_Northgate Elementary School,High,Moderate
Seattle_Olympic Hills Elementary School,High,Moderate
Seattle_Olympic View Elementary School,High,Moderate
Seattle_Queen Anne Elementary School,High,Moderate
Seattle_Queen Anne Gym,High,Moderate
Seattle_Rainier Beach High School,Very High,Very High
Seattle_Rainier View Elementary School,Very High,High
Seattle_Rising Star Elementary School,Very High,High
Seattle_Robert Eagle Staff Middle School,High,Moderate
Seattle_Roosevelt High School,High,Moderate
Seattle_Roxhill Elementary (at former Hughes ES),Very High,High
Seattle_Sacajawea Elementary School,High,Moderate
Seattle_Sand Point Elementary School,High,Moderate
Seattle_Sanislo Elementary School,Very High,High
Seattle_Schmitz Park (Temp old Genesee Hill ES),Very High,High
Seattle_Seattle World School,High,Moderate
Seattle_Seward (TOPS) K-8 School,High,Moderate
Seattle_South Shore K-8 School,Very High,High
Seattle_Stevens Elementary School,High,Moderate
Seattle_SW Interagency Academy (at former Roxhill ES),Very High,High
Seattle_Thornton Creek School,High,Moderate
Seattle_Thurgood Marshall (Colman) Elementary School,Very High,High
Seattle_Van Asselt (Old) Elementary School,Very High,High
Seattle_View Ridge Elementary School,High,Moderate
Seattle_Viewlands Elementary School,High,Moderate
Seattle_Washington Middle School,Very High,High
Seattle_Wedgwood Elementary School,High,Moderate
Seattle_West Seattle Elementary School,Very High,High
Seattle_West Seattle High School,Very High,High
Seattle_West Woodland Elementary School,High,Moderate
Seattle_Whitman Middle School,High,Moderate
Seattle_Whittier Elementary School,High,Moderate
Seattle_Whitworth (Orca K-8),Very High,High
Seattle_Wing Luke Elementary (New),Very High,High
