Unique_Identifier,EPAT_earthquake_hazard_level,EPAT_combined_hazard_level
Shoreline_Albert Einstein Middle School (old),High,Moderate
Shoreline_Aldercrest Campus - CK-8 Program & HEE Program,High,Moderate
Shoreline_Briarcrest Elementary,High,Moderate
Shoreline_Brookside Elementary,High,High
Shoreline_Echo Lake Elementary School,High,Moderate
Shoreline_Edwin Pratt Early Learning Center,High,Moderate
Shoreline_Highland Terrace Elementary,High,Moderate
Shoreline_Kellogg Middle School (old),High,Moderate
Shoreline_Lake Forest Park Elementary,High,Moderate
Shoreline_Melvin G Syre Elementary,High,Moderate
Shoreline_Meridian Park Elementary,High,Moderate
Shoreline_North City Elementary,High,Moderate
Shoreline_Parkwood Elementary,High,Moderate
Shoreline_Ridgecrest Elementary,High,Moderate
Shoreline_Shorecrest High School,High,Moderate
Shoreline_Shorewood High School,High,Moderate
