School Building: Year of Most Recent Seismic Improvements (old),Building/School (2024),Year of Most Recent Seismic Retrofit (2024),,URMs,URMs notes
"Adams, John Elementary: 2017",Adams Elementary,2017,,,
"Addams, Jane Middle School: 2016 (additional work scheduled 2024-25)",Jane Addams Middle School,2016 (additional work in progress 2024-25),,,
African American Academy (Rising Star Elementary): 2020,African American Academy (Rising Star),2020 new construction,Rising Star Elementary (@African American Academy): 2020,,
Alki Elementary: 2019 (BEX V replacement expected to open 2025),Alki Elementary School,2019 (replacement under construction),,,
Arbor Heights Elementary: 2016,Arbor Heights Elementary,2016: new construction,,,
"Bagley, Daniel Elementary: 2020",Daniel Bagley Elementary,2020: major renovation,,unreinforced masonry,Major renovation
James Baldwin Elementary: 1992 (BEX V replacement to open 2023 as James Baldwin Elementary),"Baldwin, James",2023: new construction,,,
Ballard High School: 1999,Ballard High School,1999: new construction,,,
Beacon Hill International Elementary: 2020,Beacon Hill International Elementary,2020,,,
"Blaine, Catharine K-8: 2019",Catharine Blaine K-8,2019,,,
"Boren, Louisa STEM K-8: 2013","Boren, Louisa STEM K-8",2013,,,
Broadview-Thomson K-8: 2020,Broadview-Thomson K-8,2020,,,
Bryant Elementary: 2001,Bryant Elementary,2001: major renovation,,,
Cascadia Elementary: 2017,Cascadia Elementary,2017: new construction,,,
Cedar Park Elementary: 2015,Cedar Park Elementary,2015: major renovation,,,
Chief Sealth High School: 2010,Chief Sealth International High School,2010: major renovation,,,
Cleveland STEM High School: 2005,Cleveland High School,2007: major renovation,,,
"Coe, Frances Elementary: 2003; addition 2021",Coe Elementary,"2003: new construction2021: new addition",,,
Columbia School: 2011 (additional work scheduled for 2023),Columbia School,2023,,,
Concord Elementary: 2000,Concord International Elementary,2000,,unreinforced masonry,
Cooper (Pathfinder Elementary): 2000,Pathfinder K-8,2000: new construction,,,
"Day, B.F. Elementary: 2017",B. F. Day Elementary,2017,,unreinforced masonry,
Dearborn Park International Elementary: 2018,Dearborn Park International Elementary,2018,,,
"Decatur, Stephen Elementary: 2017",Decatur Elementary,2017,,,
Denny International Middle School: 2011,Denny International Middle School,2011: new construction,,,
Dunlap Elementary: 2000,Dunlap Elementary,2000,,unreinforced masonry,Major renovation (not included in other data)
"Eagle Staff, Robert Middle School: 2017","Eagle Staff, Robert",2017: new construction,,,
Eckstein Middle School: 2019,Eckstein Middle School,2019,,,
Emerson Elementary: 2001,Emerson Elementary,2001: major renovation,,unreinforced masonry,Major renovation
Fairmount Park Elementary: 2014,Fairmount Park Elementary,2014: major renovation,,,
"Franklin High School: 2015, gym 2021",Franklin High School,2015; 2021: gymnasium,,unreinforced masonry,
