District Name,ICOS Facility ID,Facility Name,ICOS Building ID,Building Name,Enrollment,Latitude,Longitude,FEMA Construction Type,Number of Floors,Gross Sq Ft,Year Built,Last Major Renovation,Did Renovation Include Seismic Upgrades? (Y/N),Structural Drawings Available,Original Bldg Code Year,Original Building  Code,PGA 2% in 50 Year (%g),Seismic PGA Class,Mapped Site Class,VS30 Site Class,VS30 (m/s),Urban Or Rural,Earthquake Hazard Level,Liquefaction Potential,Tsunami Risk,Known Or Possible URM
Battle Ground,11856,Maple Grove K-8,17800,Gym,484,45.768,-122.544,W2,1,"17,350",1990,-,,Yes,1976,UBC,38%,30,C,D,320,Urban,Moderate to High,Very Low,None,
Battle Ground,11856,Maple Grove K-8,14257,Main Building,484,45.768,-122.544,W2,2,"64,693",1990,-,,Yes,1988,UBC,38%,30,C,D,320,Urban,Moderate to High,Very Low,None,
Battle Ground,10719,Prairie High School,15523,400 Building,1577,45.705,-122.555,W2,2,"25,057",1995,-,,Yes,1991,UBC,42%,30,D,D,297,Rural,High,Very Low,None,
Battle Ground,10719,Prairie High School,11537,500 Building,1577,45.705,-122.555,RM1,1,"9,052",1979,-,,Yes,1973,UBC,42%,30,D,D,297,Rural,High,Very Low,None,
Battle Ground,10719,Prairie High School,10577,600 Building,1577,45.705,-122.555,RM1,1,"10,725",1979,-,,Yes,1973,UBC,42%,30,D,D,297,Rural,High,Very Low,None,
Battle Ground,12402,River Homelink,11747,Main Building,966,45.767,-122.545,W2,1,"34,863",1980,-,,Yes,1976,UBC,38%,30,C,D,320,Urban,Moderate to High,Very Low,None,
Bickleton,10522,Bickleton Elementary and High School,23173,Bldg B - Vocational/Transportation,87,45.999,-120.293,S3,1,"3,672",1961,-,,No,,,20%,18,B,B,1031,Rural,Moderate,Bedrock,None,
Bickleton,10522,Bickleton Elementary and High School,23171,Main Building,87,45.999,-120.293,RM2,1,"39,330",2010,-,,Yes,2006,IBC,20%,18,B,B,1031,Rural,Moderate,Bedrock,None,
Boistfort,10441,Boistfort Elementary,16933,Gymnasium Building,99,46.55,-123.133,RM1,1,"14,530",1963,-,,No,,,49%,50,D-E,D,320,Rural,Very High,Moderate to High,None,
Boistfort,10441,Boistfort Elementary,18408,Main Building,99,46.55,-123.133,URM,1,"18,935",1936,1990,No,Yes,,UBC,49%,50,D-E,D,320,Rural,Very High,Moderate to High,None,Yes
Burlington-Edison,10031,Edison Elementary School,14601,Original Building,449,48.562,-122.439,W2,2,"58,646",1995,-,No,No,,,42%,40,D-E,E,173,Rural,Very High,Moderate to High,High or Very High,
Camas,11833,Lacamas Heights Elementary School,14197,100 Pod,353,45.613,-122.403,RM1,1,"8,182",1962,2012,No,Yes,,,38%,30,B-C,C,415,Urban,Moderate to High,Very Low,None,
Camas,11833,Lacamas Heights Elementary School,11253,Multipurpose,353,45.613,-122.403,RM1,1,"18,804",1962,1997,No,Yes,,,38%,30,B-C,C,415,Urban,Moderate to High,Very Low,None,
Camas,11220,Liberty Middle School,14296,Main Building,763,45.592,-122.403,RM1,1,"109,248",1958,2006,No,Yes,,,38%,30,B-C,C,667,Urban,Moderate to High,Very Low,None,
Camas,11220,Liberty Middle School,24118,Music Building,763,45.592,-122.403,RM1,1,"4,928",1970,-,,No,,,38%,30,B-C,C,667,Urban,Moderate to High,Very Low,None,
Camas,10049,Skyridge Middle School,10395,Main Building,936,45.616,-122.448,RM2,2,"108,198",1995,-,,Yes,1991,UBC,39%,30,B-C,D,312,Urban,Moderate to High,Very Low,None,
Cape Flattery,11636,Clallam Bay High and Elementary School,13292,Big Gym,115,48.252,-124.259,W2,1,"11,909",1962,2007,No,No,,,58%,60,D-E,D,295,Rural,Very High,Moderate to High,Low,
Cape Flattery,11636,Clallam Bay High and Elementary School,18373,Elementary Building,115,48.252,-124.259,RM1,1,"5,880",1962,2006,Yes,No,,,58%,60,D-E,D,295,Rural,Very High,Moderate to High,Low,
Cape Flattery,11636,Clallam Bay High and Elementary School,11357,Elementary Gym,115,48.252,-124.259,RM1,1,"4,305",1980,-,No,Yes,1976,UBC,58%,60,D-E,D,295,Rural,Very High,Moderate to High,Low,
Cape Flattery,11636,Clallam Bay High and Elementary School,18300,High School Building,115,48.252,-124.259,C2a,1,"27,217",1972,1995,No,Yes,1976,UBC,58%,60,D-E,D,295,Rural,Very High,Moderate to High,Low,
Cape Flattery,11636,Clallam Bay High and Elementary School,18358,Shop & Art Building,115,48.252,-124.259,RM1,1,"6,058",1980,-,No,Yes,1976,UBC,58%,60,D-E,D,295,Rural,Very High,Moderate to High,Low,
