District Name,ICOS Site ID,Site Name,ICOS Bldg ID.No.,Building Name,Latitude,Longitude,FEMA Const. Type,Year Built,Last Renovation,Gross Area (SF),No. of Floors,"Structural Drawings Avail? (Yes, No, Partial)",Has Had Structural Upgrade?,Year of Structural Upgrade,Tsunami Risk,Vs30 Measured Site Class,Vs30 (m/s),"Sds, BSE-1N (g)",ASCE 41 Tier 1 Assessed By
Aberdeen,21443,A.J. West Elementary School,57384,1952 Building,46.972,-123.838,W2,1952,1952,"22,630",2,P,Yes,1994,YES,E,128,1.32,
Aberdeen,21443,A.J. West Elementary School,57385,Annex Building,46.972,-123.838,W2,1966,1994,"16,400",1,P,Yes,1994,YES,E,128,1.32,WSP
Aberdeen,21445,Central Park Elementary School,57391,Annex Building,46.968,-123.698,RM1,1966,1995,"5,895",1,P,No,,NO,D,339,0.99,
Aberdeen,21445,Central Park Elementary School,57392,Main Building,46.968,-123.698,W2,1956,1995,"21,446",1,P,No,,NO,D,339,0.99,WSP
Aberdeen,21446,"Hopkins Building (HarborHigh School)",57394,Hopkins Building,46.972,-123.832,C2a,1956,,"53,604",1,Y,No,,YES,E,140,1.32,
Aberdeen,21441,J. M. Weatherwax High School,57378,1964 Gymnasium Building,46.98,-123.818,RM1,1964,,"27,409",3,N,No,,YES,E,109,1.32,WSP
Aberdeen,21441,J. M. Weatherwax High School,57378,Main Building,46.98,-123.818,S2a,1964,,"173,011",3,N,No,,YES,E,109,1.32,
Aberdeen,21448,McDermoth Elementary School,57397,Main Building,46.977,-123.823,W2,1926,1998,"61,867",3,P,Yes,1998,YES,D,234,1.01,WSP
Anacortes,20899,Mount Erie Elementary School,54084,Main Building,48.487,-122.619,RM1,1955,1991,"41,796",1,Y,No,,NO,C,522.5,0.92,
Bainbridge Island,21451,Bainbridge High School,57407,300 Building,47.637,-122.525,RM1,1981,,"64,216",2,Y,Yes,1998,NO,D,295,0.98,WSP
Bainbridge Island,21451,Bainbridge High School,57410,500 Building,47.637,-122.525,PC1,1981,,"32,818",2,Y,No,,NO,D,295,0.98,
Bainbridge Island,21454,Commodore Options School,57422,Art & Classrooms,47.637,-122.522,RM1,1970,,"17,239",1,Y,No,,NO,D,295,0.98,WSP
Bainbridge Island,21454,Commodore Options School,57422,Commodore Options School,47.637,-122.522,W2,1948,,"25,917",1,Y,No,,NO,D,295,0.98,
Bainbridge Island,21454,Commodore Options School,57422,Eagle Harbor HS,47.637,-122.522,RM1,1981,,"12,906",1,Y,No,,NO,D,295,0.97,WSP
Bainbridge Island,21453,Ordway Elementary School,57416,Education Pod,47.64,-122.522,S2a,1978,,"12,188",1,Y,No,,NO,D,295,0.97,
Bainbridge Island,21453,Ordway Elementary School,57416,K-4 Building,47.64,-122.522,S2a,1978,,"15,235",1,Y,No,,NO,D,295,0.97,WSP
Bainbridge Island,21453,Ordway Elementary School,57416,Main Building,47.64,-122.522,S2a,1978,,"16,105",1,Y,No,,NO,D,295,0.97,
Bainbridge Island,21456,Woodward Middle School,57424,2-Story Classroom Wing,47.645,-122.529,W2,1994,,"56,073",2,Y,No,,NO,C,524,1.16,WSP
Bainbridge Island,21456,Woodward Middle School,57424,Gym,47.645,-122.529,RM1,1994,,"15,000",1,Y,No,,NO,C,524,1.16,
Bainbridge Island,21456,Woodward Middle School,57424,Main Building,47.645,-122.529,RM1,1994,,"30,201",1,Y,No,,NO,C,524,1.16,WSP
Bellingham,20974,Fairhaven Middle School,54454,Main Building - Classrooms,48.715,-122.503,W2,1937,1994,"62,417",2,Y,Yes,1994,NO,C,525,0.81,
Bellingham,20974,Fairhaven Middle School,54455,West Wing,48.715,-122.503,W2,1937,1994,"11,035",2,Y,Yes,1994,NO,C,525,0.81,RM
Bellingham,20985,Roosevelt Elementary School,54493,Main Building,48.768,-122.442,RM1,1972,,"43,061",1,Y,No,,NO,D,274.2,0.73,
Bellingham,20980,Whatcom Middle School,54467,Industrial Arts Building,48.759,-122.48,RM1,1978,,"3,696",1,Y,No,,NO,D,262,0.73,RM
Bellingham,20980,Whatcom Middle School,54468,Music Building,48.759,-122.48,W2,1971,,"6,087",1,Y,No,,NO,D,262,0.73,
Bethel,21473,Camas Prairie Elementary School,57577,Main Building,47.097,-122.427,W2,1987,,"44,728",1,Y,No,,NO,C,484,1.04,WSP
Bethel,21465,Rocky Ridge Elementary School,57514,Main Building,47.02,-122.346,W2,1985,,"43,864",1,Y,No,,NO,C,502,1,
Brinnon,21495,Brinnon Elementary School,57777,Main Building,47.697,-122.903,W2,1952,,"13,737",1,Y,No,,NO,C,403,1.16,RM
Burlington-Edison,20018,Burlington-Edison High School,50112,500 Wing,48.478,-122.337,RM1,1974,,"9,171",1,Y,No,,NO,D,189,0.76,
Burlington-Edison,20018,Burlington-Edison High School,50118,Admin/Classroom Building,48.478,-122.337,RM1,1974,,"13,296",1,Y,No,,NO,D,189,0.76,RM
Burlington-Edison,20018,Burlington-Edison High School,50119,Art/Tiger TUB Building,48.478,-122.337,C2a,1958,,"15,665",1,Y,No,,NO,D,189,0.76,
Burlington-Edison,20018,Burlington-Edison High School,50117,Cafeteria & 400 Wing,48.478,-122.337,RM1,1970,,"18,668",1,Y,No,,NO,D,189,0.76,RM
Burlington-Edison,20018,Burlington-Edison High School,50110,CTE,48.478,-122.337,RM1,1964,,"5,003",1,Y,No,,NO,D,189,0.76,
Burlington-Edison,20018,Burlington-Edison High School,50109,Fieldhouse 1953 & 1975,48.478,-122.337,RM1,1953,1975,"35,093",1,Y,No,,NO,D,189,0.76,RM
Burlington-Edison,20018,Burlington-Edison High School,50109,Fieldhouse 1984 Addition,48.478,-122.337,RM1,1984,,"15,040",1,Y,No,,NO,D,189,0.76,
Burlington-Edison,20016,West View Elementary School,50095,Main Building,48.477,-122.341,W2,1950,,"43,537",1,Y,No,,NO,D,189,0.76,RM
Camas,21503,Dorothy Fox Elementary School,57808,Main Building,45.599,-122.43,RM1,1982,2011,"38,124",1,Y,No,,NO,C,397.8,0.66,
Cascade,20302,Beaver Valley School,51675,Main Building,47.77,-120.665,W2,2000,,"3,141",1,Y,No,,NO,C,386,0.48,RM
Cascade,20302,Beaver Valley School,51677,Old Winton School House,47.77,-120.665,W2,1916,,750,1,N,No,,NO,C,386,0.48,
Central Kitsap,21520,Cottonwood Elementary School,57901,Main,47.643,-122.646,PC1a,1976,2003,"54,150",1,Y,Yes,1990,NO,C,364.2,0.99,RM
Central Kitsap,21517,Emerald Heights Elementary,57877,Main,47.675,-122.665,"RM1, S2a",1993,,"56,000",1,Y,No,,NO,C,366.1,1.15,
Central Kitsap,21516,Green Mountain Elementary,57875,Main,47.599,-122.82,"RM1, S2a",1992,,"43,360",1,Y,No,,NO,C,592.2,1.24,RM
Central Kitsap,21512,Pinecrest Elementary,57854,Main Bldg,47.613,-122.636,"RM1, S2a",1998,,"56,181",2,Y,No,,NO,C,384,1.24,
Central Kitsap,21521,Woodlands Elementary,57903,Main,47.63,-122.648,W2,1981,,"54,243",1,Y,No,,NO,D,295,1.21,RM
Centralia,21531,Centralia Middle School,57953,Classroom Wings,46.726,-122.982,W2,1958,1987,"40,712",1,P,No,,NO,C,437,0.98,
Centralia,21531,Centralia Middle School,57953,Gym Wing,46.726,-122.982,W2,1958,1987,"20,356",1,P,No,,NO,C,437,0.98,WRK
Centralia,21531,Centralia Middle School,57953,Main Building,46.726,-122.982,W2,1958,1987,"27,436",1,P,No,,NO,C,437,0.98,
Centralia,21534,Oakview Elementary School,57970,Main Building,46.743,-122.952,PC1,1928,1978,"38,046",1,P,No,,NO,C,415,0.99,WRK
Centralia,21533,Washington Elementary School,57962,Main Building,46.709,-122.954,RM1,1950,,"51,063",1,P,No,,NO,D,305,0.82,
Chimacum,21545,Chimacum High School,58034,"High School 100 Bldg A -North Wing",48.012,-122.778,RM1,1980,1999,"38,586",1,Y,Yes,1999,NO,D,332,0.88,WSP
Chimacum,21545,Chimacum High School,58034,"High School 100 Bldg A -South Wing",48.012,-122.778,RM1,1980,1999,"38,600",1,Y,Yes,1999,NO,D,332,0.88,
Chimacum,21544,Chimacum Middle School,58032,Middle School Bldg 100 B,48.012,-122.778,RM1,1959,1965,"21,558",1,Y,Yes,1999,NO,D,332,0.88,WSP
Chimacum,21544,Chimacum Middle School,58031,Middle School Bldg 200,48.012,-122.778,RM1,1991,1999,"38,330",1,Y,No,,NO,D,332,0.88,
Clover Park,20040,Custer Elementary School,50243,Library - CU2,47.181,-122.54,W2,1992,2012,"3,264",1,P,No,,NO,D,331,0.91,DCI
Clover Park,20040,Custer Elementary School,50240,"Second Classroom Building -CU1",47.181,-122.54,W2,1952,1992,"40,304",1,P,No,,NO,D,331,0.91,
Clover Park,20041,Oakbrook Elementary School,50244,First Classroom Building - OB1,47.186,-122.549,RM1,1970,2002,"37,881",1,P,No,,NO,C,454.8,1.09,DCI
Clover Park,20041,Oakbrook Elementary School,50245,Gym / MPR - OB2,47.186,-122.549,RM1,1970,,"11,760",1,P,No,,NO,C,454.8,1.09,
Clover Park,20028,Tillicum Elementary School,50186,Classroom Building - TL1,47.125,-122.553,URM,1944,1997,"37,468",1,P,No,,NO,C,490.9,1.08,DCI
Ephrata,20385,Ephrata High School,51934,"1937 Annex(Former Beezley Springs ES)",47.326,-119.551,URM,1937,,"23,619",1,P,No,,NO,D,321,0.39,DCI
Ephrata,20385,Ephrata High School,51932,Performing Arts Center PAC,47.326,-119.551,URM,1951,,"32,125",1,P,No,,NO,D,321,0.39,
Ephrata,20384,Grant Elementary School,51927,Main Building,47.326,-119.555,RM1,1957,1985,"31,612",1,Y,No,,NO,D,321,0.39,DCI
Ephrata,20386,Parkway School,51938,Main Building,47.313,-119.561,W2,1947,1999,"27,288",1,Y,No,,NO,C,405,0.35,
Everett,21045,Jackson Elementary School,54780,Main Building,47.968,-122.218,W2,1949,1993,"51,652",2,Y,Yes,1992,NO,D,344,0.85,RM
Everett,21053,Madison Elementary School,54831,Main Building,47.942,-122.224,W2,1947,1993,"41,835",1,Y,Yes,1993,NO,C,566.1,1.06,
Federal Way,20142,Brigadoon Elementary School,50844,Main Office Building - E,47.3,-122.378,W2,1969,1990,"3,706",1,Y,No,,NO,C,435,1.08,WSP
Federal Way,20142,Brigadoon Elementary School,50838,Multipurpose Building - C,47.3,-122.378,W2,1970,,"4,823",1,Y,No,,NO,C,435,1.08,
Federal Way,20142,Brigadoon Elementary School,50843,Rooms 20-25 & Kitchen - B,47.3,-122.378,W2,1969,1990,"6,817",1,Y,No,,NO,C,435,1.08,WSP
Federal Way,20142,Brigadoon Elementary School,50839,Rooms 30-35 - F,47.3,-122.378,W2,1969,1990,"6,777",1,Y,No,,NO,C,435,1.08,
Federal Way,20142,Brigadoon Elementary School,50841,Rooms 40-43 & Library - D,47.3,-122.378,W2,1969,1990,"8,596",1,Y,No,,NO,C,435,1.08,WSP
Federal Way,20142,Brigadoon Elementary School,50842,Rooms 50-58 - A,47.3,-122.378,W2,1969,1990,"8,627",1,Y,No,,NO,C,435,1.08,
Federal Way,20116,Camelot Elementary School,50675,Main Building,47.335,-122.284,W2,1964,1989,"41,111",1,Y,No,,NO,C,412,1.06,WSP
Federal Way,20137,Kilo Middle School,50805,Building A Main Office,47.327,-122.278,W2,1970,1994,"6,114",1,Y,No,,NO,C,492,1.05,
Federal Way,20137,Kilo Middle School,50803,Building B,47.327,-122.278,W2,1970,1993,"12,480",2,Y,No,,NO,C,492,1.05,WSP
Federal Way,20137,Kilo Middle School,50807,Building C,47.327,-122.278,W2,1970,1993,"11,160",1,Y,No,,NO,C,492,1.05,
Federal Way,20137,Kilo Middle School,50808,Building D,47.327,-122.278,W2,1970,1993,"5,280",1,Y,No,,NO,C,492,1.05,WSP
Federal Way,20137,Kilo Middle School,50811,Building E Little Theater,47.327,-122.278,W2,1970,,"2,316",1,Y,No,,NO,C,492,1.05,
Federal Way,20137,Kilo Middle School,50806,Building F1-F4 & Library,47.327,-122.278,W2,1970,1993,"9,600",1,Y,No,,NO,C,492,1.05,WSP
Federal Way,20137,Kilo Middle School,50804,Building F5-F8,47.327,-122.278,W2,1970,1993,"4,320",1,Y,No,,NO,C,492,1.05,
Federal Way,20137,Kilo Middle School,50802,Building G,47.327,-122.278,W2,1970,1993,"6,720",1,Y,No,,NO,C,492,1.05,WSP
Federal Way,20137,Kilo Middle School,50812,Building H Gymnasium,47.327,-122.278,W2,1970,,"33,152",2,Y,No,,NO,C,492,1.05,
Federal Way,20137,Kilo Middle School,50809,Building I Cafeteria,47.327,-122.278,W2,1970,,"7,800",1,Y,No,,NO,C,492,1.05,WSP
Federal Way,20137,Kilo Middle School,50810,Building J,47.327,-122.278,W2,1970,,"8,160",1,Y,No,,NO,C,492,1.05,
Federal Way,20140,Nautilus K-8 School,50828,Multipurpose Rm Bldg,47.343,-122.322,W2,1968,,"8,716",1,Y,No,,NO,C,386,1.08,DCI
Federal Way,20140,Nautilus K-8 School,50825,Rooms 15-20 Bldg,47.343,-122.322,W2,1968,,"6,852",1,Y,No,,NO,C,386,1.08,
Federal Way,20140,Nautilus K-8 School,50826,Rooms 1-6 Bldg,47.343,-122.322,W2,1968,,"6,892",1,Y,No,,NO,C,386,1.08,DCI
Federal Way,20140,Nautilus K-8 School,50829,Rooms 22-25 Bldg,47.343,-122.322,W2,1968,,"8,806",1,Y,No,,NO,C,386,1.08,
Federal Way,20140,Nautilus K-8 School,50830,Rooms 7-14 Bldg,47.343,-122.322,W2,1968,,"8,658",1,Y,No,,NO,C,386,1.08,DCI
Federal Way,20121,Sacajawea Middle School,50701,100 Building,47.335,-122.319,RM1,1966,,"7,682",1,Y,No,,NO,C,392,1.07,
Federal Way,20121,Sacajawea Middle School,50706,300 Building/Cafeteria,47.335,-122.319,RM1,1966,,"14,503",1,Y,No,,NO,C,392,1.07,DCI
Federal Way,20121,Sacajawea Middle School,50703,400 Building,47.335,-122.319,RM1,1966,,"7,473",1,Y,No,,NO,C,392,1.07,
Federal Way,20121,Sacajawea Middle School,50702,600/700/800 Building,47.335,-122.319,RM1,1966,,"19,824",1,Y,No,,NO,C,392,1.07,DCI
Federal Way,20121,Sacajawea Middle School,50700,900 Building,47.335,-122.319,RM1,1968,,"4,674",1,Y,No,,NO,C,392,1.07,
Federal Way,20121,Sacajawea Middle School,50705,Gym (500) Building,47.335,-122.319,RM1,1966,,"17,484",1,Y,No,,NO,C,392,1.07,DCI
Federal Way,20121,Sacajawea Middle School,50704,Main Office Building,47.335,-122.319,RM1,1968,,"10,553",1,Y,No,,NO,C,392,1.07,
Ferndale,21070,Central Elementary School,54971,Main Building,48.845,-122.592,W2,1920,,"44,516",2,P,Yes,1995,NO,E,151,0.87,RM
Ferndale,21073,Custer Elementary,54976,Main Building,48.919,-122.637,W2,1936,2009,"49,103",1,P,No,,NO,D,191.4,0.73,
Granite Falls,21083,"Crossroads HighSchool (form. MS)",55015,Crossroads HS,48.085,-121.964,RM1,2000,,"29,700",2,Y,No,,NO,D,268,0.87,RM
Granite Falls,21086,"Granite Falls MiddleSchool (form. HS)",55028,Main Building - Gym,48.087,-121.963,RM1,1974,2001,"30,172",1,Y,No,,NO,C,395,0.74,
Granite Falls,21086,"Granite Falls MiddleSchool (form. HS)",55028,Main Building (Excl. Gym),48.087,-121.963,RM1,1974,2001,"32,919",1,Y,No,,NO,C,395,0.74,RM
Granite Falls,21086,"Granite Falls MiddleSchool (form. HS)",55030,Multi-Purpose Building,48.087,-121.963,W2,1980,,"4,458",1,Y,No,,NO,C,395,0.74,
Granite Falls,21082,"Mountain WayElementary School",55012,Main Building,48.09,-121.97,W2,1988,,"51,515",1,Y,No,,NO,C,441,0.81,RM
Highline,21094,"Beverly Park @ GlendaleElementary School",55096,Main Building A,47.51,-122.318,RM1,1963,1992,"42,692",1,Y,No,,NO,C,443.2,1.23,
