Name,Code,Description
"Wood, Light Frame",W1,"These are typically single-family or small, multiple-family dwellings of not more than 5,000 square feet of floor area. The essential structural feature of these buildings is repetitive framing by wood rafters or joists on wood stud walls. Loads are light and spans are small. These buildings may have relatively heavy masonry chimneys and may be partially or fully covered with masonry veneer. Most of these buildings, especially the single-family residences, are not engineered but constructed in accordance with “conventional construction” provisions of building codes. Hence, they usually have the components of a lateral-force-resisting system even though it may be incomplete. Lateral loads are transferred by diaphragms to shear walls. The diaphragms are roof panels and floors that may be sheathed with sawn lumber, plywood or fiberboard sheathing. Shear walls are sheathed with boards, stucco, plaster, plywood, gypsum board, particle board, or fiberboard, or interior partition walls sheathed with plaster or gypsum board."
"Wood, Commercial and Industrial (>5,000 square feet)",W2,"These buildings are typically commercial or industrial buildings, or multi-family residential buildings with a floor area greater than 5,000 square feet. These buildings include structural systems framed by beams or major horizontally spanning members over columns. These horizontal members may be glue-laminated (glu-lam) wood, solid-sawn wood beams, or wood trusses, or steel beams or trusses. Lateral loads usually are resisted by wood diaphragms and exterior walls sheathed with plywood, stucco, plaster, or other paneling. The walls may have diagonal rod bracing. Large openings for stores and garages often require post-and-beam framing. Lateral load resistance on those lines may be achieved with steel rigid frames (moment frames) or diagonal bracing."
Steel Moment Frame,S1,"These buildings have a frame of steel columns and beams. In some cases, the beam-column connections have very small moment resisting capacity but, in other cases, some of the beams and columns are fully developed as moment frames to resist lateral forces. Usually the structure is concealed on the outside by exterior nonstructural walls, which can be of almost any material (curtain walls, brick masonry, or precast concrete panels), and on the inside by ceilings and column furring. Diaphragms transfer lateral loads to moment-resisting frames. The diaphragms can be almost any material. The frames develop their stiffness by full or partial moment connections. The frames can be located almost anywhere in the building. Usually the columns have their strong directions oriented so that some columns act primarily in one direction while the others act in the other direction. Steel moment frame buildings are typically more flexible than shear wall buildings. This low stiffness can result in large interstory drifts that may lead to relatively greater nonstructural damage"
Steel Braced Frame,S2,These buildings are similar to steel moment frame buildings except that the vertical components of the lateral-force-resisting system are braced frames rather than moment frames.
Steel Light Frame,S3,"These buildings are pre-engineered and prefabricated with transverse rigid frames. The roof and walls consist of lightweight panels, usually corrugated metal. The frames are designed for maximum efficiency, often with tapered beam and column sections built up of light steel plates. The frames are built in segments and assembled in the field with bolted joints. Lateral loads in the transverse direction are resisted by the rigid frames with loads distributed to them by diaphragm elements, typically rod-braced steel roof framing bays. Tension rod bracing typically resists loads in the longitudinal direction."
Steel Frame with Cast-in-Place Concrete Shear Walls,S4,"The shear walls in these buildings are cast-in-place concrete and may be bearing walls. The steel frame is designed for vertical loads only. Diaphragms of almost any material transfer lateral loads to the shear walls. The steel frame may provide a secondary lateral-force-resisting system depending on the stiffness of the frame and the moment capacity of the beam-column connections. In modern “dual” systems, the steel moment frames are designed to work together with the concrete shear walls."
Steel Frame with Unreinforced Masonry Infill Walls,S5,"This is one of the older types of buildings. The infill walls usually are offset from the exterior frame members, wrap around them, and present a smooth masonry exterior with no indication of the frame. Solidly infilled masonry panels, when they fully engage the surrounding frame members (i.e. lie in the same plane), may provide stiffness and lateral load resistance to the structure."
Reinforced Concrete Moment Resisting Frames,C1,These buildings are similar to steel moment frame buildings except that the frames are reinforced concrete. There are a large variety of frame systems. Some older concrete frames may be proportioned and detailed such that brittle failure of the frame members can occur in earthquakes leading to partial or full collapse of the buildings. Modern frames in zones of high seismicity are proportioned and detailed for ductile behavior and are likely to undergo large deformations during an earthquake without brittle failure of frame members and collapse.
Concrete Shear Walls,C2,"The vertical components of the lateral-force-resisting system in these buildings are concrete shear walls that are usually bearing walls. In older buildings, the walls often are quite extensive and the wall stresses are low but reinforcing is light. In newer buildings, the shear walls often are limited in extent, generating concerns about boundary members and overturning forces."
Concrete Frame Buildings with URM Infill Walls,C3,"These buildings are similar to steel frame buildings with unreinforced masonry infill walls except that the frame is of reinforced concrete. In these buildings, the shear strength of the columns, after cracking of the infill, may limit the semi-ductile behavior of the system."
